Id,True_Label,Predicted_Class
1,1,1
2,1,0
3,0,0
4,1,0
5,1,1
6,1,1
7,1,0
8,0,1
9,1,0
10,0,0
11,1,1
12,0,0
13,1,1
14,1,1
15,0,0
16,0,0
17,1,0
18,1,0
19,1,0
20,1,0
21,0,1
22,0,0
23,0,0
24,1,1
25,1,1
26,0,0
27,1,0
28,0,1
29,0,0
30,0,0
31,1,1
32,0,1
33,1,1
34,0,0
35,1,1
36,1,0
37,1,1
38,0,0
39,1,1
40,1,1
41,0,0
42,1,1
43,1,0
44,0,0
45,0,0
46,1,0
47,0,0
48,0,0
49,0,0
50,1,0
51,1,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,1
57,0,0
58,0,1
59,1,1
60,0,0
61,1,0
62,0,1
63,0,0
64,1,1
65,0,1
66,0,0
67,1,1
68,0,0
69,0,0
70,0,0
71,1,0
72,0,1
73,1,0
74,0,0
75,1,1
76,1,1
77,0,1
78,0,0
79,1,1
80,1,0
81,1,0
82,0,1
83,1,1
84,1,1
85,1,1
86,0,0
87,1,1
88,0,0
89,1,0
90,0,0
91,0,1
92,0,0
93,1,0
94,1,1
95,0,0
96,0,0
97,1,0
98,1,0
99,0,0
100,0,0
101,0,1
102,0,1
103,0,0
104,1,1
105,1,1
106,1,1
107,0,1
108,1,1
109,1,1
110,1,1
111,1,0
112,0,0
113,0,1
114,0,1
115,0,1
116,1,0
117,1,1
118,0,0
119,0,1
120,1,1
121,0,0
122,0,0
123,1,0
124,0,0
125,0,0
126,1,1
127,1,0
128,1,0
129,0,0
130,1,1
131,0,0
132,1,0
133,1,1
134,0,1
135,1,1
136,0,0
137,0,0
138,1,0
139,0,0
140,1,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,1,0
147,1,1
148,1,1
149,1,1
150,0,1
151,1,1
152,0,0
153,1,0
154,1,1
155,1,0
156,0,0
157,0,0
158,1,1
159,1,0
160,1,1
161,0,0
162,1,1
163,0,1
164,1,1
165,1,1
166,1,1
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,1,0
173,1,1
174,1,1
175,1,0
176,0,0
177,0,0
178,1,0
179,0,0
180,0,0
181,1,1
182,1,0
183,0,0
184,0,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,1
190,0,0
191,0,0
192,0,0
193,1,1
194,1,1
195,1,1
196,1,1
197,1,0
198,0,0
199,1,1
200,0,0
201,0,0
202,1,1
203,1,1
204,0,1
205,1,1
206,0,0
207,1,0
208,0,0
209,0,1
210,1,1
211,1,1
212,0,0
213,1,1
214,1,1
215,1,1
216,0,1
217,1,1
218,1,0
219,0,0
220,1,0
221,1,1
222,1,1
223,0,0
224,0,0
225,0,0
226,0,0
227,1,1
228,0,1
229,1,1
230,0,0
231,0,1
232,1,0
233,1,1
234,0,0
235,0,0
236,0,0
237,0,1
238,0,0
239,1,1
240,1,0
241,0,0
242,0,0
243,1,0
244,1,1
245,0,0
246,1,1
247,1,0
248,1,1
249,1,1
250,0,0
251,0,0
252,0,1
253,0,0
254,0,0
255,0,0
256,1,0
257,1,1
258,0,1
259,1,1
260,1,1
261,1,0
262,1,1
263,0,1
264,0,1
265,0,0
266,1,1
267,1,1
268,1,1
269,0,0
270,0,0
271,1,1
272,0,0
273,1,1
274,0,1
275,1,1
276,1,1
277,1,1
278,0,0
279,1,1
280,1,1
281,1,1
282,0,0
283,1,1
284,0,0
285,0,0
286,1,0
287,0,1
288,0,0
289,1,0
290,1,1
291,0,0
292,0,1
293,0,0
294,0,1
295,1,1
296,0,0
297,1,0
298,0,0
299,0,0
300,1,1
301,1,1
302,1,0
303,0,0
304,1,0
305,1,0
306,1,1
307,0,0
308,1,0
309,0,1
310,1,0
311,0,1
312,1,0
313,0,0
314,1,0
315,0,1
316,0,0
317,1,0
318,0,0
319,1,0
320,1,1
321,0,0
322,1,0
323,1,0
324,0,0
325,1,0
326,1,0
327,0,0
328,1,1
329,1,1
330,1,1
331,0,0
332,1,1
333,0,1
334,1,1
335,1,0
336,0,0
337,1,1
338,0,0
339,1,0
340,1,0
341,1,1
342,0,1
343,0,1
344,1,1
345,0,0
346,1,1
347,0,0
348,1,1
349,1,1
350,1,0
